"Atomic Number","Name","Symbol","Group","Atomic Mass","Phase at STP","Charge of Common Ion","Metal/Nonmetal/Metalloid","Group Name","Period","Ionization Energy","Melting Point","Boiling Point","Atomic Radius","Density","Electronegativity","Electron Configuration"
1,"Hydrogen","H",1,1.00794,"Gas",1,"Non Metal",,1,13.5984,-259.14,-252.87,53,0.0899,2.2,"1s^1"
2,"Helium","He",18,4.002602,"Gas",,"Non Metal","Noble Gas",1,24.5874,"#N/A",-268.93,31,0.1785,"#N/A","1s^2"
3,"Lithium","Li",1,6.941,"Solid",1,"Metal","Alkali Metal",2,5.3917,180.54,1342,167,0.535,0.98,"1s^2 2s^1"
4,"Beryllium","Be",2,9.012182,"Solid",,"Metal","Alkaline Earth Metal",2,9.3227,1287,2470,112,1.848,1.57,"1s^2 2s^2"
5,"Boron","B",13,10.811,"Solid",,"Metalloid",,2,8.298,2075,4000,87,2.46,2.04,"1s^2 2s^2 2p^1"
6,"Carbon","C",14,12.0107,"Solid",,"Non Metal",,2,11.2603,3550,4027,67,2.26,2.55,"1s^2 2s^2 2p^2"
7,"Nitrogen","N",15,14.0067,"Gas",-3,"Non Metal",,2,14.5341,-210.1,-195.79,56,1.251,3.04,"1s^2 2s^2 2p^3"
8,"Oxygen","O",16,15.9994,"Gas",-2,"Non Metal","Chalcogen",2,13.6181,-218.3,-182.9,48,1.429,3.44,"1s^2 2s^2 2p^4"
9,"Fluorine","F",17,18.9984032,"Gas",-1,"Non Metal","Halogen",2,17.4228,-219.6,-188.12,42,1.696,3.98,"1s^2 2s^2 2p^5"
10,"Neon","Ne",18,20.1797,"Gas",,"Non Metal","Noble Gas",2,21.5645,-248.59,-246.08,38,0.9,"#N/A","1s^2 2s^2 2p^6"
11,"Sodium","Na",1,22.98977,"Solid",1,"Metal","Alkali Metal",3,5.1391,97.72,883,190,0.968,0.93,"1s^2 2s^2 2p^6 3s^1"
12,"Magnesium","Mg",2,24.305,"Solid",2,"Metal","Alkaline Earth Metal",3,7.6462,650,1090,145,1.738,1.31,"1s^2 2s^2 2p^6 3s^2"
13,"Aluminum","Al",13,26.981538,"Solid",3,"Metal",,3,5.9858,660.32,2519,118,2.7,1.61,"1s^2 2s^2 2p^6 3s^2 3p^1"
14,"Silicon","Si",14,28.0855,"Solid",,"Metalloid",,3,8.1517,1414,2900,111,2.33,1.9,"1s^2 2s^2 2p^6 3s^2 3p^2"
15,"Phosphorus","P",15,30.97361,"Solid",-3,"Non Metal",,3,10.4867,44.2,280.5,98,1.823,2.19,"1s^2 2s^2 2p^6 3s^2 3p^3"
16,"Sulfur","S",16,32.065,"Solid",-2,"Non Metal","Chalcogen",3,10.36,115.21,444.72,88,1.96,2.58,"1s^2 2s^2 2p^6 3s^2 3p^4"
17,"Chlorine","Cl",17,35.453,"Gas",-1,"Non Metal","Halogen",3,12.9676,-101.5,-34.04,79,3.214,3.16,"1s^2 2s^2 2p^6 3s^2 3p^5"
18,"Argon","Ar",18,39.948,"Gas",,"Non Metal","Noble Gas",3,15.7596,-189.3,-185.8,71,1.784,"#N/A","1s^2 2s^2 2p^6 3s^2 3p^6"
19,"Potassium","K",1,39.0983,"Solid",1,"Metal","Alkali Metal",4,4.3407,63.38,759,243,0.856,0.82,"1s^2 2s^2 2p^6 3s^2 3p^6 4s^1"
20,"Calcium","Ca",2,40.078,"Solid",2,"Metal","Alkaline Earth Metal",4,6.1132,842,1484,194,1.55,1,"1s^2 2s^2 2p^6 3s^2 3p^6 4s^2"
21,"Scandium","Sc",3,44.95591,"Solid",,"Metal","Transition Metal",4,6.5615,1541,2830,184,2.985,1.36,"1s^2 2s^2 2p^6 3s^2 3p^6 3d^1 4s^2"
22,"Titanium","Ti",4,47.867,"Solid",,"Metal","Transition Metal",4,6.8281,1668,3287,176,4.507,1.54,"1s^2 2s^2 2p^6 3s^2 3p^6 3d^2 4s^2"
23,"Vanadium","V",5,50.9415,"Solid",,"Metal","Transition Metal",4,6.7462,1910,3407,171,6.11,1.63,"1s^2 2s^2 2p^6 3s^2 3p^6 3d^3 4s^2"
24,"Chromium","Cr",6,51.9961,"Solid",,"Metal","Transition Metal",4,6.7665,1907,2671,166,7.14,1.66,"1s^2 2s^2 2p^6 3s^2 3p^6 3d^5 4s^1"
25,"Manganese","Mn",7,54.938049,"Solid",,"Metal","Transition Metal",4,7.434,1246,2061,161,7.47,1.55,"1s^2 2s^2 2p^6 3s^2 3p^6 3d^5 4s^2"
26,"Iron","Fe",8,55.845,"Solid",,"Metal","Transition Metal",4,7.9024,1538,2861,156,7.874,1.83,"1s^2 2s^2 2p^6 3s^2 3p^6 3d^6 4s^2"
27,"Cobalt","Co",9,58.9332,"Solid",,"Metal","Transition Metal",4,7.881,1495,2927,152,8.9,1.88,"1s^2 2s^2 2p^6 3s^2 3p^6 3d^7 4s^2"
