Trig,Prob,,,,Heirarchy Levels,,highlighted yellow means needs formal review,,,,,,,
Webwork Section,Current link,Webwork key,DoenetId,leave blank for now,Level 1 - chapter,Level 2 - section,Level 3 - title,Level 4 - version,MA 1155 Assignment,,,DoenetId (from old course),parentDoenetId (from old course),Link (to version inside old course)
,,,,,,,BA-Basics,,,,,_Jf7QD0G0X3t4g650OVkgc,,
"Rational expressions: add, subtract",https://www.doenet.org/portfolioeditor/_bpI4uFyiVyijR1y2lrjcx,10e,_bpI4uFyiVyijR1y2lrjcx,,,,1. BA-Basics: Simplify the difference of two rational expressions,,,,,_69HvIhRZucmG9uqAK7lFW,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_69HvIhRZucmG9uqAK7lFW
Simplify rational expressions,https://www.doenet.org/portfolioeditor/_JDOMRYaxlmcljJ8xviItr,10f,_JDOMRYaxlmcljJ8xviItr,,,,2. BA-Basics: Simplify by rationalizing the denominator,,,,,_qSdf0TH4fuk7uim4aZ4Sv,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_qSdf0TH4fuk7uim4aZ4Sv
Difference quotient,https://www.doenet.org/portfolioeditor/_YkLgobP686yUn37yMk0jI,6g,_YkLgobP686yUn37yMk0jI,,,,3. BA-Basics: Average rate of change of a function,,,,,_UsxbiTE5lGJVeahnO5biQ,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_UsxbiTE5lGJVeahnO5biQ
Simplifying expressions,https://www.doenet.org/portfolioeditor/_yBxwCzmpRHrIkS3jk0MNW,1e,_yBxwCzmpRHrIkS3jk0MNW,,,,4. BA-Basics: Distribute and combine like terms to solve for x,,,,,_2uJ3gVfhUqE3OyM5WQ59m,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_2uJ3gVfhUqE3OyM5WQ59m
Factoring trinomials,https://www.doenet.org/portfolioeditor/_RDZnD70SqD3pU6JcQYQwE,5c,_RDZnD70SqD3pU6JcQYQwE,,,,5. BA-Basics: Factoring a general quadratic trinomial with graphing tool,,,,,_w2v1MaLW0lIhnx5lF5EpS,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_w2v1MaLW0lIhnx5lF5EpS
Factoring by grouping,https://www.doenet.org/portfolioeditor/_tHiSiSuOHkCKhG4Pf7mxA,5b,_tHiSiSuOHkCKhG4Pf7mxA,,,,6. BA-Basics: Factor a cubic with grouping,,,,,_0uYA4ZELsaExJHLAC9gAK,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_0uYA4ZELsaExJHLAC9gAK
Factoring trinomials,https://www.doenet.org/portfolioeditor/_sMyW1R4QEGrlzn1Sr4zUp,5c,_sMyW1R4QEGrlzn1Sr4zUp,,,,"7. BA-Basics: Factor a quadratic; a not equal to 1, no GCF",,,,,_CLiI3CvdTShDZhugjc4rD,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_CLiI3CvdTShDZhugjc4rD
Factoring trinomials,https://www.doenet.org/portfolioeditor/_Eamtx3rX8ik05vfy6irvT,5c,_Eamtx3rX8ik05vfy6irvT,,,,"9. BA-Basics: Factor a quadratic; a = 1, linear term is negative",,,,,_weOqumJbApsjnJahV5Cgj,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_weOqumJbApsjnJahV5Cgj
